id	target
519130	0.5
234045	0.0
401256	0.0
551070	0.2
367285	0.0
497998	0.0
413082	0.0
349893	0.0
346337	0.5
289979	0.0
510818	0.5
235935	0.1
532135	0.2
564760	0.0
277391	0.0
336830	0.8
356053	0.0
293302	0.0
322368	0.0
406041	0.0
569179	0.2
191405	0.0
489011	0.0
265952	0.5
193718	0.0
241961	0.0
522250	0.1
486617	0.5
563039	0.0
362649	0.0
339305	0.5
263778	0.3
224013	0.0
454138	0.0
459664	0.4
380168	0.0
442263	0.0
564916	0.1
552664	0.1
375516	0.2
259397	0.0
467064	0.1
202064	0.4
431603	0.0
540647	0.7
435816	0.1
501826	0.0
282874	0.1
491298	0.0
343207	0.0
247970	0.0
378911	0.1
183596	0.1
203517	0.1
391872	0.0
442383	0.0
271895	0.1
343358	0.0
378462	0.1
378961	0.1
382273	0.5
196833	0.3
342913	0.5
192035	0.0
404547	0.0
562742	0.0
240736	0.0
436997	0.0
575372	0.2
266796	0.0
357881	0.0
566114	0.1
245887	0.1
390833	0.0
200478	0.1
430776	0.1
313582	0.1
551951	0.0
160715	0.0
216636	0.0
277860	0.0
213799	0.3
194198	0.0
458754	0.1
252774	0.6
432242	0.0
453661	0.0
404340	0.0
450511	0.1
342654	0.0
491618	0.0
507637	0.1
148492	0.1
257402	0.1
478083	0.0
196865	0.1
561449	0.0
503440	0.0
388931	0.0
277533	0.0
565485	0.1
487646	0.0
353982	0.0
563991	0.1
559959	0.0
369250	0.0
152339	0.2
543473	0.0
554140	0.2
507895	0.0
437055	0.4
490329	0.0
157791	0.0
541068	0.2
494336	0.0
301032	0.1
220668	0.0
273520	0.3
337028	0.0
382313	0.0
459676	0.1
362850	0.0
242251	0.0
589665	0.1
501748	0.4
543682	0.0
569618	0.0
227436	0.1
395035	0.2
381676	0.5
389346	0.0
310208	0.0
284283	0.1
474817	0.3
341704	0.0
175291	0.0
213503	0.2
443460	0.0
475423	0.0
432541	0.0
265378	0.1
359758	0.0
166339	0.1
559607	0.2
439064	0.4
564243	0.1
283124	0.2
324991	0.0
277839	0.0
562618	0.3
288035	0.0
167025	0.0
468854	0.0
198237	0.0
559817	0.0
490131	0.0
299534	0.0
270124	0.1
547457	0.0
550631	0.1
348412	0.0
183842	0.0
309129	0.0
499649	0.0
312250	0.1
